,text,favorited,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,retweeted,longitude,latitude
1,@_YoulOVEMeeee lmfaooooo <ed><U+00A0><U+00BD><ed><U+00B8><U+00AD><ed><U+00A0><U+00BD><ed><U+00B8><U+00AD><ed><U+00A0><U+00BD><ed><U+00B8><U+00AD><ed><U+00A0><U+00BD><ed><U+00B8><U+0082>,FALSE,_YoulOVEMeeee,8/9/2013 2:41,FALSE,3.65663E+17,3.65664E+17,1180339334,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tequila_Babyy,0,FALSE,NA,NA
2,I want some of Jenni Riveras tequila man !!,FALSE,NA,8/9/2013 2:41,FALSE,NA,3.65664E+17,NA,"<a href=""http://twitter.com/devices"" rel=""nofollow"">txt</a>",Sexiii_Mexii,0,FALSE,NA,NA
3,RT @janegormannn: Tequila mockingbird,FALSE,NA,8/9/2013 2:41,FALSE,NA,3.65664E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",erika_franchiii,1,FALSE,NA,NA
4,"RT @PartySexDrugs: I didn't take my pants off, tequila did.",FALSE,NA,8/9/2013 2:41,FALSE,NA,3.65664E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",jdel64,133,FALSE,NA,NA
5,YESSS royals are on fire. I'll take a shot to that. #tequila,FALSE,NA,8/9/2013 2:40,FALSE,NA,3.65664E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",KMuehlebach1,0,FALSE,NA,NA
6,"Bands make her dance, tequila gets her naked, and molly make her fuck...God bless these hoes",FALSE,NA,8/9/2013 2:40,FALSE,NA,3.65664E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",pyrex_g0d,0,FALSE,NA,NA
7,quiero tequila don't stop the party,FALSE,NA,8/9/2013 2:40,FALSE,NA,3.65664E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Elisalooo,0,FALSE,NA,NA
8,RT @john_prior1: @hail3yyy Oh ok sweet. Let's break out the tequila and get rowdy.,FALSE,NA,8/9/2013 2:40,FALSE,NA,3.65664E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",hail3yyy,1,FALSE,NA,NA
9,"@alwaysthereason Sunset Blvd, Reason, True Friends, Say What You Mean, XO, Tequila Sunrise, Hearts Out, My Calling y los de The X Factor :))",FALSE,alwaysthereason,8/9/2013 2:40,FALSE,3.65663E+17,3.65664E+17,252807086,web,EmaAriaas,0,FALSE,NA,NA
10,My 9-5 shift isn't stopping me from pulling out the tequila right now #drinkup,FALSE,NA,8/9/2013 2:40,FALSE,NA,3.65664E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Acampsss,0,FALSE,NA,NA
11,Sweats like tequila. Tight!,FALSE,NA,8/9/2013 2:40,FALSE,NA,3.65664E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",DanCastillo,0,FALSE,NA,NA
12,Tequila mockingbird,FALSE,NA,8/9/2013 2:40,FALSE,NA,3.65664E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",janegormannn,1,FALSE,NA,NA
13,@hail3yyy Oh ok sweet. Let's break out the tequila and get rowdy.,FALSE,hail3yyy,8/9/2013 2:40,FALSE,3.65664E+17,3.65664E+17,350075192,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",john_prior1,1,FALSE,NA,NA
